project,commit,typeRFT,description,pre_commit_line_number,pre_commit_code_element,pre_commit_description,post_commit_line_number,post_commit_code_element,post_commit_description,MANUAL - observation,MANUAL - Abstracted Observation,MANUAL - High Level Category,MANUAL - additional details
hadoop,6483342a61c80a7aacc50948962cda95c49c5031,Add Method Annotation,Add Method Annotation @Before in method public setup() : void from class org.apache.hadoop.yarn.server.nodemanager.TestDirectoryCollection,45,public setup() : void,original method declaration,45,@Before,added annotation,test failure due to annotation misuse,[Misuse][Share variable in @BeforeClass -> Bug],FIXTURE,DO NOT USE SHARE VARIABLE IN BEFORECLASS
hbase,9ad77becf4fb2d3e768c916900d0792c0287a56f,Remove Method Annotation,Remove Method Annotation @Before in method public setup() : void from class org.apache.hadoop.hbase.master.procedure.TestWALProcedureStoreOnHDFS,96,@Before,deleted annotation,96,public setup() : void,method declaration with removed annotation,@Before is refactored into 2 methods for configurability,-,FIXTURE,INFLEXIBLE CONFIGURATION-NOT-CONFIGURABLE
hbase,587f5bc11f9d5d37557baf36c7df110af860a95c,Remove Method Annotation,Remove Method Annotation @Before in method public setUp() : void from class org.apache.hadoop.hbase.mob.compactions.TestMobCompactor,139,@Before,deleted annotation,137,public setUp(tableNameAsString String) : void,method declaration with removed annotation,@Before is not configurable,[@Before not configurable],FIXTURE,INFLEXIBLE CONFIGURATION-NOT-CONFIGURABLE
orientdb,04242466a2d96209105515f915cb673f4e98f83a,Remove Method Annotation,Remove Method Annotation @BeforeClass in method protected setUp() : void from class com.orientechnologies.orient.object.db.OObjectLazyListTest,16,@BeforeClass,deleted annotation,16,public setUp() : void,method declaration with removed annotation,"Use helper method to allow configurable fixture / if it's reused then it's worth putting this in abstract class / however, with introduction of @Rule instead of inheriting we can inject",[@Before not configurable],FIXTURE,INFLEXIBLE CONFIGURATION-NOT-CONFIGURABLE
kafka,7de22453bbd05a7ac629543e09626ac6987ce306,Modify Method Annotation,Modify Method Annotation @Test(expected = LockException.class) to @Test in method public shouldThrowLockExceptionIfIOExceptionCaughtWhenTryingToLockStateDir() : void from class org.apache.kafka.streams.processor.internals.GlobalStateManagerImplTest,378,@Test(expected = LockException.class),original annotation,379,@Test,modified annotation,Extract @Before to helper to allow configurability for testing different scenario while fixing bug,[@Before not configurable],FIXTURE,INFLEXIBLE CONFIGURATION-NOT-CONFIGURABLE
hbase,555a80585bb19cb615093adb3e215cc3c5fac3b4,Remove Method Annotation,Remove Method Annotation @Before in method public setUp() : void from class org.apache.hadoop.hbase.coprocessor.endpoints.TestLongAggregator,49,@Before,deleted annotation,49,public setUp() : void,method declaration with removed annotation,RFT @Before -> @Before class to improve testing time,[Improve Test Execution -> Single setup],FIXTURE,IMPROVE TEST SPEED
hive,ad803d794a3b242156f12b7c5f310cdc7009ba06,Add Method Annotation,Add Method Annotation @BeforeClass in method public before() : void from class org.apache.hadoop.hive.metastore.TestMetaStoreMetrics,53,public before() : void,original method declaration,56,@BeforeClass,added annotation,"No discussion in issue report. But, probably because fixture only need to initialized once.",[Improve Test Execution -> Single setup],FIXTURE,IMPROVE TEST SPEED
hive,9602a2f60e05c3d9de29323fae4e96757be2274a,Remove Method Annotation,Remove Method Annotation @BeforeClass in method public setUpClass() : void from class org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager2,74,@BeforeClass,deleted annotation,74,public TestDbTxnManager2(),method declaration with removed annotation,if @beforeClass and shared and updated -> fail,[ Bug in reused variable in fixture ],FIXTURE,FLAKY - REUSED VARIABLE IN BEFORECLASS
orientdb,f8f3f5f0c44795a61672e9675d646aeb8e35c533,Add Class Annotation,Add Class Annotation @Test(enabled = false) in class com.orientechnologies.orient.test.database.speed.SuperNodeInsertSpeedTest,3,com.orientechnologies.orient.test.database.speed.SuperNodeInsertSpeedTest,original class declaration,37,@Test(enabled = false),added annotation,if @beforeClass and shared and updated -> fail,[ Bug in reused variable in fixture ],FIXTURE,FLAKY - REUSED VARIABLE IN BEFORECLASS
hive,7f4a3e17ec2fa886276a7f278e5846e0e7ebc8a6,Remove Method Annotation,Remove Method Annotation @Ignore in method public testIncrementalInserts() : void from class org.apache.hadoop.hive.ql.TestReplicationScenarios,793,@Ignore,deleted annotation,878,public testIncrementalInserts() : void,method declaration with removed annotation,just says it is more safer > faster execution,[ Ad-hoc fixture ],FIXTURE,FASTER EXECUTION VS ISOLATED TEST
ambari,ee02ad9c984b5a15eea13a175e212c0e1f6ff1c2,Add Class Annotation,Add Class Annotation @Category({category.AlertTest.class}) in class org.apache.ambari.server.state.alerts.InitialAlertEventTest,55,org.apache.ambari.server.state.alerts.InitialAlertEventTest,original class declaration,59,@Category({category.AlertTest.class}),added annotation,Categorize unit test to make unit test run faster,[Improve Test Execution -> @Category],CATEGORY,TEST PRIORITIZATION-IMPROVE TEST SPEED
ambari,2700bd125f2f9bbae2ebfcc0831ec881097b4cff,Remove Method Annotation,Remove Method Annotation @Before in method public init() : void from class org.apache.ambari.server.stack.UpdateActiveRepoVersionOnStartupTest,87,@Before,deleted annotation,93,public init(addClusterVersion boolean) : void,method declaration with removed annotation,Using @Category to split fast test vs non-fast test -> idea is to speed up testing,[Improve Test Execution -> @Category],CATEGORY,TEST PRIORITIZATION-IMPROVE TEST SPEED
flink,e25e5213054442dd3bb913437e56bfaf4f00a37b,Add Class Annotation,Add Class Annotation @RunWith(Parameterized.class) in class org.apache.flink.metrics.prometheus.tests.PrometheusReporterEndToEndITCase,61,org.apache.flink.metrics.prometheus.tests.PrometheusReporterEndToEndITCase,original class declaration,73,@RunWith(Parameterized.class),added annotation,Uses @Category to disable test,[Diasble Test -> @Category],CATEGORY,IGNORE
flink,c552f74b0daf76b80e85b6eb062c80e23e532315,Remove Method Annotation,Remove Method Annotation @Category(FailsOnJava11.class) in method public testCheckpointedStreamingClassloaderJobWithCustomClassLoader() : void from class org.apache.flink.test.classloading.ClassLoaderITCase,202,@Category(FailsOnJava11.class),deleted annotation,199,public testCheckpointedStreamingClassloaderJobWithCustomClassLoader() : void,method declaration with removed annotation,use @Category annotation to disable tests if run on Java11,[Diasble Test -> @Category],CATEGORY,IGNORE
flink,68a2520adfa45f45d1fef3fcea7b53d6f65b5a7f,Remove Method Annotation,Remove Method Annotation @Ignore in method public testReduceFastTimeWindows() : void from class org.apache.flink.streaming.runtime.operators.windowing.TimeWindowTranslationTest,59,@Ignore,deleted annotation,56,public testAlignedWindowDeprecation() : void,method declaration with removed annotation,use @Category annotation to disable tests if run on Java11,[Diasble Test -> @Category],CATEGORY,IGNORE
flink,d3fd7a6794a8ffd16e00bb1867b6e62c3909a2d2,Remove Method Annotation,"Remove Method Annotation @Parameterized.Parameters(name = ""Credit-based = {0}"") in method public parameters() : List<Boolean> from class org.apache.flink.runtime.io.network.partition.consumer.SingleInputGateTest",89,"@Parameterized.Parameters(name = ""Credit-based = {0}"")",deleted annotation,46,public parameters() : List<Boolean>,method declaration with removed annotation,@Category used to disable tests that fail due to upgrade in external dependency,[Disable -> @Category],CATEGORY,IGNORE
flink,80c2a0c773583f4a37e86612cb600f49f2bc36cb,Remove Class Annotation,"Remove Class Annotation @Ignore(""Not working properly"") in class org.apache.flink.test.recovery.SimpleRecoveryITCase",41,"@Ignore(""Not working properly"")",deleted annotation,40,org.apache.flink.test.recovery.SimpleRecoveryITCase,class declaration with removed annotation,"@Category used to annotate legacy tests, but never used in sunfire test run thus becomes obsolete",[@Category to organize test],CATEGORY,TEST-PRIORITIZATION-LEGACY CODE
storm,d6a1e730ea200b36c42475f9ce45d11ee940c949,Remove Method Annotation,Remove Method Annotation @Category(IntegrationTest.class) in method public testCompleteTopologyLocal() : void from class org.apache.storm.TestingTest,125,@Category(IntegrationTest.class),deleted annotation,122,public testCompleteTopologyLocal() : void,deleted annotation,@Category used to annotate legacy tests,[@Category to organize test],CATEGORY,TEST-PRIORITIZATION-INTERGATION TEST
hbase,418e61ab0002bf8cd57d7643ff4f83759199534a,Add Class Annotation,Add Class Annotation @Category(SmallTests.class) in class org.apache.hadoop.hbase.client.TestClientExponentialBackoff,33,org.apache.hadoop.hbase.client.TestClientExponentialBackoff,original class declaration,35,@Category(SmallTests.class),added annotation,@Category to add timeouts to tests,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,a621169078489ca1a25f47d017d34550e6d3cde9,Add Class Annotation,"Add Class Annotation @Category({MetricsTests.class,SmallTests.class}) in class org.apache.hadoop.hbase.TestCompatibilitySingletonFactory",34,org.apache.hadoop.hbase.TestCompatibilitySingletonFactory,original class declaration,38,"@Category({MetricsTests.class,SmallTests.class})",added annotation,missing @Category annotation noticed by pre-commit build. Small Test is labelled for tests that do not need cluster/take less than 15 second/ test can be run with other small tests in same JVM,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,0f2647d05b547b6fcf315151a23daf7ccd2a98f7,Add Class Annotation,Add Class Annotation @Category(SmallTests.class) in class org.apache.hadoop.hbase.util.TestTableName,24,org.apache.hadoop.hbase.util.TestTableName,original class declaration,33,@Category(SmallTests.class),added annotation,missing @Category annotation noticed by pre-commit build. Small Test is labelled for tests that do not need cluster/take less than 15 second/ test can be run with other small tests in same JVM,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,6f463c57408ff7ec05387dc7628a181e3126e1b8,Add Class Annotation,Add Class Annotation @Category(SmallTests.class) in class org.apache.hadoop.hbase.client.TestClientExponentialBackoff,32,org.apache.hadoop.hbase.client.TestClientExponentialBackoff,original class declaration,34,@Category(SmallTests.class),added annotation,missing @Category annotation noticed by pre-commit build. Small Test is labelled for tests that do not need cluster/take less than 15 second/ test can be run with other small tests in same JVM,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,12f4e0977c9637dc6dcd2bcc677cb1a890e1be87,Modify Class Annotation,"Modify Class Annotation @Category({MasterTests.class,MediumTests.class}) to @Category({MasterTests.class,SmallTests.class}) in class org.apache.hadoop.hbase.master.TestClusterStatusPublisher",35,"@Category({MasterTests.class,MediumTests.class})",original annotation,35,"@Category({MasterTests.class,SmallTests.class})",modified annotation,Fixing mismatch test time @Category,[timeout -> @Category][Relaxes timeout],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,b921ed422215dbdb3c90a2f3bbda08c5aecee9ab,Modify Class Annotation,Modify Class Annotation @Category(MediumTests.class) to @Category({LargeTests.class}) in class org.apache.hadoop.hbase.security.access.TestCellACLs,69,@Category(MediumTests.class),original annotation,68,@Category({LargeTests.class}),modified annotation,"HBASE uses diff category (small/med/large) to annotate tests that require varying time to finish. This particular case, test failed because there wasn't enough time in small cateogory, thus moves to a larger test. However, i feel that might be ad-hoc because there is no discussion about why test should take longer.",[timeout -> @Category][Relaxes timeout],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,97484f2aaf3809137fd50180164dc2c741d05ee8,Modify Class Annotation,"Modify Class Annotation @Category({MediumTests.class,ClientTests.class}) to @Category({LargeTests.class,ClientTests.class}) in class org.apache.hadoop.hbase.client.TestAsyncNamespaceAdminApi",48,"@Category({MediumTests.class,ClientTests.class})",original annotation,49,"@Category({LargeTests.class,ClientTests.class})",modified annotation,"Default timeout is 60 second, which would fail in @Category(med) so switch to @Category(large)",[timeout -> @Category][Relaxes timeout],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,2b08653a79a8ed0ae8501a110b79f9ea23e808d4,Modify Class Annotation,"Modify Class Annotation @Category({VerySlowRegionServerTests.class,MediumTests.class}) to @Category({VerySlowRegionServerTests.class,LargeTests.class}) in class org.apache.hadoop.hbase.regionserver.TestHRegion",181,"@Category({VerySlowRegionServerTests.class,MediumTests.class})",original annotation,181,"@Category({VerySlowRegionServerTests.class,LargeTests.class})",modified annotation,Test is slow due to JACOCO analysis (external). Promoted to larger test.,[timeout -> @Category][Relaxes timeout],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,01a2869363d45c7692f3984f31ab8c7a50d117fc,Modify Class Annotation,"Modify Class Annotation @Category({ClientTests.class,LargeTests.class}) to @Category({ClientTests.class,MediumTests.class}) in class org.apache.hadoop.hbase.client.TestShellNoCluster",33,"@Category({ClientTests.class,LargeTests.class})",original annotation,33,"@Category({ClientTests.class,MediumTests.class})",modified annotation,"Used @Rule to limit test time, however, it made some test failed, so it selectively changes @Category(Med->Large)... This is ad-hoc since root problem of hanging test was just bypassed.",[timeout -> @Category][Relaxes timeout],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,a7a4f61040ced428fdfbdda0751fe91c485b4020,Modify Class Annotation,Modify Class Annotation @Category(MediumTests.class) to @Category(LargeTests.class) in class org.apache.hadoop.hbase.regionserver.TestMultiLogThreshold,49,@Category(MediumTests.class),original annotation,53,@Category(LargeTests.class),modified annotation,add slow test annotation while parameterizing test,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,928df25ee0c6ba57daaee8a20db45b2cef3c5d4c,Modify Class Annotation,"Modify Class Annotation @Category({MiscTests.class,MediumTests.class}) to @Category({MiscTests.class,LargeTests.class}) in class org.apache.hadoop.hbase.util.TestRegionMover",54,"@Category({MiscTests.class,MediumTests.class})",original annotation,61,"@Category({MiscTests.class,LargeTests.class})",modified annotation,Denote @Category to large timeout while adding more tests,[timeout -> @Category][Relaxes timeout],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,b35e18cccd8e990db458004abefab7fe3c8105c0,Modify Class Annotation,"Modify Class Annotation @Category({RegionServerTests.class,MediumTests.class}) to @Category({RegionServerTests.class,LargeTests.class}) in class org.apache.hadoop.hbase.regionserver.TestRegionMergeTransactionOnCluster",91,"@Category({RegionServerTests.class,MediumTests.class})",original annotation,88,"@Category({RegionServerTests.class,LargeTests.class})",modified annotation,"HBASE uses diff category (small/med/large) to annotate tests that require varying time to finish. This particular case, test failed because there wasn't enough time in small cateogory, thus moves to a larger test. However, i feel that might be ad-hoc because there is no discussion about why test should take longer.",[timeout -> @Category][Relaxes timeout],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,0c0d7eb2419c78f9035d2565a8e6e807b0b6f605,Modify Class Annotation,"Modify Class Annotation @Category({MiscTests.class,SmallTests.class}) to @Category({MiscTests.class,MediumTests.class}) in class org.apache.hadoop.hbase.util.TestTableName",41,"@Category({MiscTests.class,SmallTests.class})",original annotation,41,"@Category({MiscTests.class,MediumTests.class})",modified annotation,"HBASE also uses @Category (small/med/large) that denotes whether test should run on its own JVM. Since test fails in shared JVM, dev switch to medium to run it in separate JVM to reliably pass the test. However, maybe test might be doing something funky and this is one way to bypass error?",[timeout -> @Category][Relaxes timeout],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,853ab2f943fe65a3c6bff85fecd62a743be464d2,Modify Class Annotation,"Modify Class Annotation @Category({RegionServerTests.class,MediumTests.class}) to @Category({RegionServerTests.class,LargeTests.class}) in class org.apache.hadoop.hbase.regionserver.TestRegionMergeTransactionOnCluster",91,"@Category({RegionServerTests.class,MediumTests.class})",original annotation,88,"@Category({RegionServerTests.class,LargeTests.class})",modified annotation,"HBASE uses diff category (small/med/large) to annotate tests that require varying time to finish. This particular case, test failed because there wasn't enough time in small cateogory, thus moves to a larger test. However, i feel that might be ad-hoc because there is no discussion about why test should take longer.",[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,8f1e01b6e54169c58900eeddb9de6ca6487f6a22,Modify Method Annotation,Modify Method Annotation @Test(timeout = 30000) to @Test in method public testLockLeakWithDelta() : void from class org.apache.hadoop.hbase.client.TestFromClientSide3,746,@Test(timeout = 30000),original annotation,746,@Test,modified annotation,Used @Category to reuse timeout for mid speed,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,506e01a0647e6df5b15a4f1ae9eb9c0652909283,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test in method public testTruncateWithPreserveAfterSplit() : void from class org.apache.hadoop.hbase.master.procedure.TestTruncateTableProcedure,319,@Test(timeout = 60000),original annotation,319,@Test,modified annotation,remove explicit timeout because @Category already defines timeout,[Relaxes timeout],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,6b6a80187693ebcecfb774af51a3e2c875223cda,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test in method public testWritesWhileRollWriter() : void from class org.apache.hadoop.hbase.regionserver.TestHRegion,6734,@Test(timeout = 60000),original annotation,6734,@Test,modified annotation,use custom @Category instead of explicit timeout,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,aaeafca9206341761094b1bcd27580f3978356bb,Modify Method Annotation,Modify Method Annotation @Test to @Test(timeout = 60000) in method public testSimpleMulti() : void from class org.apache.hadoop.hbase.zookeeper.TestZKMulti,78,@Test,original annotation,83,@Test(timeout = 60000),modified annotation,Used @Category to reuse timeout for mid speed,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,ca00cbeed21c639622b86967d82a70338689b347,Modify Method Annotation,Modify Method Annotation @Test(timeout = 120000) to @Test in method public testCommandOptions() : void from class org.apache.hadoop.hbase.http.log.TestLogLevel,188,@Test(timeout = 120000),original annotation,188,@Test,modified annotation,remove explicit timeout because @Category already defines timeout,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,03845614238de2c7ee040b709a26562e19918ff6,Modify Method Annotation,Modify Method Annotation @Test(timeout = 300000) to @Test in method public testCompactionOverride() : void from class org.apache.hadoop.hbase.coprocessor.TestRegionObserverInterface,479,@Test(timeout = 300000),original annotation,484,@Test,modified annotation,Used @Category to reuse timeout for mid speed,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hive,634f71d11af7bfd07926452c60064fbba47d6a1f,Add Class Annotation,Add Class Annotation @Category(MetastoreUnitTest.class) in class org.apache.hadoop.hive.common.ndv.fm.TestFMSketchSerialization,30,org.apache.hadoop.hive.common.ndv.fm.TestFMSketchSerialization,original class declaration,32,@Category(MetastoreUnitTest.class),added annotation,Use @Category to separate slow test from long test to speed up testing time.,,CATEGORY,TEST-PRIORITIZATION-TIMEOUT TESTS
hbase,00c91b01ea0d89810541e0bef3152605519f9f70,Modify Class Annotation,"Modify Class Annotation @Category(MediumTests.class) to @Category({SecurityTests.class,MediumTests.class}) in class org.apache.hadoop.hbase.security.token.TestGenerateDelegationToken",66,@Category(MediumTests.class),original annotation,52,"@Category({SecurityTests.class,MediumTests.class})",modified annotation,Annotating proper category after bug fixing.,[@Category to organize test],CATEGORY,TEST-PRIORITIZATION-CLASSIFY TEST
storm,93b7d7c02b115a598545c6797cd5a9b0f5f791ad,Add Method Annotation,Add Method Annotation @ParameterizedTest in method public TestBadSlot(blacklistOnBadSlot boolean) : void from class org.apache.storm.scheduler.blacklist.TestBlacklistScheduler,98,public TestBadSlot() : void,original method declaration,100,@ParameterizedTest,added annotation,"Add integration testing to mvn profile, using @Category to annotate integration test. This won't be run in default build.",[@Category -> Integration Test],CATEGORY,TEST-PRIORITIZATION-CLASSIFY TEST
hbase,3168cf210c10b336e04c16e09f7b0a277fcd2b7a,Modify Class Annotation,"Modify Class Annotation @Category({MasterTests.class,LargeTests.class}) to @Category({MasterTests.class,MediumTests.class}) in class org.apache.hadoop.hbase.master.balancer.TestStochasticLoadBalancerRegionReplicaHighReplication",27,"@Category({MasterTests.class,LargeTests.class})",original annotation,27,"@Category({MasterTests.class,MediumTests.class})",modified annotation,It tones down the amount of calculation done for tests to reduce amount of flakiness. Still flaky..,[timeout -> @Category][Relaxes computation][tighten timeout],CATEGORY,TEST-PRIORITIZATION-TIGHTEN TIMEOUT AFTER AD-HOC DECREASE COMPUTATION TO MAKE TEST LESS FLAKY
hbase,28d8609e5de62de78b6ab7570c7fea2c8f78a856,Modify Class Annotation,"Modify Class Annotation @Category({MasterTests.class,SmallTests.class}) to @Category({MasterTests.class,MediumTests.class}) in class org.apache.hadoop.hbase.master.procedure.TestMasterProcedureScheduler",50,"@Category({MasterTests.class,SmallTests.class})",original annotation,54,"@Category({MasterTests.class,MediumTests.class})",modified annotation,changed timeout from category class while fixing bug,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-RELAX TIMEOUT FOR SLOW TEST WHILE FEATURE ADDITION
hbase,74731c2a46294da6da57a81258c3d82188c63889,Modify Class Annotation,Modify Class Annotation @Category({MediumTests.class}) to @Category({LargeTests.class}) in class org.apache.hadoop.hbase.rsgroup.TestRSGroupsAdmin2,55,@Category({MediumTests.class}),original annotation,62,@Category({LargeTests.class}),modified annotation,changed timeout from category class while fixing bug,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-RELAX TIMEOUT FOR SLOW TEST WHILE FEATURE ADDITION
hbase,29ec882a5e0269ce453cf806727551a4f28020a5,Modify Class Annotation,Modify Class Annotation @Category(MediumTests.class) to @Category(SmallTests.class) in class org.apache.hadoop.hbase.io.encoding.TestPrefixTree,46,@Category(MediumTests.class),original annotation,49,@Category(SmallTests.class),modified annotation,changed timeout from category class while fixing bug,[timeout -> @Category],CATEGORY,TEST-PRIORITIZATION-RELAX TIMEOUT FOR SLOW TEST WHILE FEATURE ADDITION
kafka,70f25b95192bb7d56c62c8b8bc80b478b8e08ef9,Add Class Annotation,Add Class Annotation @Category({IntegrationTest.class}) in class org.apache.kafka.streams.integration.AbstractResetIntegrationTest,65,org.apache.kafka.streams.integration.AbstractResetIntegrationTest,original class declaration,70,@Category({IntegrationTest.class}),added annotation,Putting @Category on base class allows inheritnace in subclass.,[Redundant @Category],CATEGORY,REDUNDANT CATEGORY
kafka,fb3a9485a8f830336e2cd07d959cf6aa0a5356a5,Add Method Annotation,Add Method Annotation @Ignore in method public testDescribeConsumerGroupOffsets() : void from class org.apache.kafka.clients.admin.KafkaAdminClientTest,758,public testDescribeConsumerGroupOffsets() : void,original method declaration,759,@Ignore,added annotation,"Putting @Category on base class allows inheritnace in subclass. However, they put redundant category in both super and subclass.",[Redundant @Category],CATEGORY,REDUNDANT CATEGORY
camel,a8d78f5d5963e33f9f5f39f6b4df1788b93d8fc7,Remove Class Annotation,"Remove Class Annotation @Ignore(""TODO: fails for some odd reason with java.lang.ClassNotFoundException: org.apache.camel.loanbroker.queue.version.LoanBrokerRoute"") in class org.apache.camel.loanbroker.queue.version.LoanBrokerQueueTest",32,"@Ignore(""TODO: fails for some odd reason with java.lang.ClassNotFoundException: org.apache.camel.loanbroker.queue.version.LoanBrokerRoute"")",deleted annotation,31,org.apache.camel.loanbroker.queue.version.LoanBrokerQueueTest,class declaration with removed annotation,Uses junit toolbox to run paramterized test parallel to improve test speed,[ RFT @Paramterized ],PARAMETERIZED,PARALLELIZE  - IMPROVE TEST SPEED
cassandra,082dedf97b4f9df77b896c65d374a9a4076364b1,Add Method Annotation,Add Method Annotation @AfterClass in method public resetCqlQueryHandlerField() : void from class org.apache.cassandra.transport.MessagePayloadTest,76,public resetCqlQueryHandlerField() : void,original method declaration,77,@AfterClass,added annotation,"New feature requires current test to support different type of parameters. Thus, adds @Parameterized on 4 tests.",[ RFT @Paramterized ],PARAMETERIZED,INCREASE TEST COVERAGE - INCREASED TEST INPUT DURING FEATURE ADDITION TO HANDLE DIFFERENT CONFIGURATION
druid,ba7aaf4374d6ce110a27cfa3ae15b66983f9aac2,Modify Method Annotation,Modify Method Annotation @Test(expected = UnsupportedOperationException.class) to @Test in method public testCSVParserWithoutStartFileFromBeginning() : void from class io.druid.java.util.common.parsers.CSVParserTest,120,@Test(expected = UnsupportedOperationException.class),original annotation,181,@Test,modified annotation,"introducing new feature, causing test to more tests and more parameter",[RFT @Paramterized],PARAMETERIZED,INCREASE TEST COVERAGE - INCREASED TEST INPUT DURING FEATURE ADDITION TO HANDLE DIFFERENT CONFIGURATION
druid,5f411f14af285ea31f2745789704a44208efd2e6,Modify Method Annotation,Modify Method Annotation @Test(expected = IllegalStateException.class) to @Test in method public testLockAfterTaskComplete() : void from class io.druid.indexing.overlord.TaskLockboxTest,60,@Test(expected = IllegalStateException.class),original annotation,83,@Test,modified annotation,"introducing new feature, causing test to more tests and more parameter",[RFT @Paramterized],PARAMETERIZED,INCREASE TEST COVERAGE - INCREASED TEST INPUT DURING FEATURE ADDITION TO HANDLE DIFFERENT CONFIGURATION
hadoop,4d01dbda508691beb07a4c8bfe113ec568166ddc,Add Class Annotation,Add Class Annotation @RunWith(Parameterized.class) in class org.apache.hadoop.hdfs.server.blockmanagement.TestReplicationPolicy,73,org.apache.hadoop.hdfs.server.blockmanagement.TestReplicationPolicy,original class declaration,68,@RunWith(Parameterized.class),added annotation,"Parameterized for no. thread to test time improved for parallizing source code using thread pool. However, paramterized argument is not used for assertions. Meaning, the test case does not test that including more thread would result in speed improvement.",[RFT @Paramterized],PARAMETERIZED,INCREASE TEST COVERAGE - INCREASED TEST INPUT DURING FEATURE ADDITION TO HANDLE DIFFERENT CONFIGURATION
hive,b0f7de2c1eee71f26a876ed3070aa9ce08c9ab69,Add Class Annotation,Add Class Annotation @RunWith(Parameterized.class) in class org.apache.hive.minikdc.TestJdbcWithMiniKdcCookie,40,org.apache.hive.minikdc.TestJdbcWithMiniKdcCookie,original class declaration,48,@RunWith(Parameterized.class),added annotation,Add Junit Paramterized class while implementing new feature,[RFT @Parameterized],PARAMETERIZED,INCREASE TEST COVERAGE - INCREASED TEST INPUT DURING FEATURE ADDITION TO HANDLE DIFFERENT CONFIGURATION
storm,ec634bd65087d1b67a53c99ef3d5d3efeaea0afe,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60_000) to @Test(timeout = 75_000) in method public testLargeTopologiesOnLargeClustersGras() : void from class org.apache.storm.scheduler.resource.TestResourceAwareScheduler,994,@Test(timeout = 60_000),original annotation,994,@Test(timeout = 75_000),modified annotation,Junit 5 jupiter introduced @ParameterizedTest,[ RFT @Paramterized Test],PARAMETERIZED,INCREASE TEST COVERAGE - INCREASED TEST INPUT DURING FEATURE ADDITION TO HANDLE DIFFERENT CONFIGURATION
druid,76cb06a8d8161d29d985ef048b89e6a82b489058,Add Class Annotation,Add Class Annotation @RunWith(PowerMockRunner.class) in class io.druid.query.lookup.KafkaLookupExtractorFactoryTest,56,io.druid.query.lookup.KafkaLookupExtractorFactoryTest,original class declaration,61,@RunWith(PowerMockRunner.class),added annotation,Use @Parameterized to allow configurable setup,[RFT @Paramterized],PARAMETERIZED,REFACTOR TEST CODE - CONFIGURABLE SETUP
